Transaction ID,Customer ID,Category,Item,Price Per Unit,Quantity,Total Spent,Payment Method,Location,Transaction Date,Discount Applied,Profit,Country,State,Region
TXN_5256349,CUST_25,Beverages,Item_2_BEV,6.5,4,26,Digital Wallet,Online,9/27/2022,FALSE,4134,United States,Oklahoma,Central
TXN_3229559,CUST_02,Beverages,Item_7_BEV,14,9,126,Digital Wallet,Online,12/2/2022,TRUE,15574,United States,Texas,Central
TXN_1336269,CUST_19,Beverages,Item_7_BEV,14,6,84,Digital Wallet,Online,12/25/2024,,10494,United States,Texas,Central
TXN_1132339,CUST_01,Beverages,Item_11_BEV,20,4,80,Credit Card,Online,7/12/2023,,-3334,United States,Texas,Central
TXN_8283332,CUST_16,Beverages,Item_23_BEV,38,6,228,Cash,Online,11/13/2023,FALSE,-4259,United States,California,West
TXN_9610555,CUST_15,Beverages,,6.5,,,Cash,In-store,11/15/2022,FALSE,-6808,United States,Louisiana,South
TXN_1747548,CUST_04,Beverages,Item_25_BEV,41,2,82,Digital Wallet,Online,11/6/2024,,1675,United States,Ohio,East
TXN_8842339,CUST_22,Beverages,Item_12_BEV,21.5,8,172,Digital Wallet,In-store,5/14/2023,FALSE,-4130,United States,Tennessee,South
TXN_7214951,CUST_04,Beverages,Item_25_BEV,41,5,205,Cash,In-store,10/12/2023,,-5243,United States,Illinois,Central
TXN_4731761,CUST_17,Beverages,Item_6_BEV,12.5,3,37.5,Credit Card,In-store,8/19/2024,FALSE,-3723,United States,Minnesota,Central
TXN_8186195,CUST_20,Beverages,Item_8_BEV,15.5,5,77.5,Digital Wallet,Online,2/19/2023,TRUE,6860,United States,New York,East
TXN_8404227,CUST_03,Beverages,Item_2_BEV,6.5,9,58.5,Digital Wallet,Online,12/29/2023,,-2691,United States,Pennsylvania,East
TXN_2374689,CUST_19,Beverages,Item_2_BEV,6.5,1,6.5,Cash,In-store,5/21/2024,,12186,United States,Pennsylvania,East
TXN_9469962,CUST_08,Beverages,,,6,48,Cash,Online,2/26/2024,FALSE,13471,United States,Texas,Central
TXN_8685820,CUST_05,Beverages,Item_1_BEV,5,10,50,Digital Wallet,Online,3/23/2023,,13053,United States,Oregon,West
TXN_1729525,CUST_08,Beverages,Item_23_BEV,38,7,266,Digital Wallet,In-store,11/10/2022,FALSE,-4611,United States,Florida,South
TXN_5960646,CUST_21,Beverages,Item_3_BEV,8,8,64,Digital Wallet,Online,3/18/2024,TRUE,10371,United States,Colorado,West
TXN_3759367,CUST_18,Beverages,Item_19_BEV,32,1,32,Digital Wallet,In-store,5/7/2023,TRUE,549,United States,New Jersey,East
TXN_8793391,CUST_16,Beverages,Item_2_BEV,6.5,8,52,Credit Card,Online,4/14/2024,TRUE,10503,United States,Pennsylvania,East
TXN_5940844,CUST_23,Beverages,Item_19_BEV,32,2,64,Credit Card,In-store,9/12/2023,,14696,United States,New York,East
TXN_2910621,CUST_02,Beverages,Item_10_BEV,18.5,10,185,Digital Wallet,In-store,3/5/2023,FALSE,6171,United States,California,West
TXN_1475212,CUST_11,Beverages,Item_11_BEV,20,6,120,Cash,Online,10/14/2023,,14165,United States,Pennsylvania,East
TXN_6035994,CUST_15,Beverages,Item_6_BEV,12.5,8,100,Credit Card,In-store,10/30/2024,,-7048,United States,Pennsylvania,East
TXN_3834320,CUST_18,Beverages,,24.5,,,Cash,In-store,11/8/2022,TRUE,3464,United States,Pennsylvania,East
TXN_7738273,CUST_06,Beverages,Item_3_BEV,8,9,72,Cash,Online,3/23/2024,,-1022,United States,California,West
TXN_7864933,CUST_24,Beverages,Item_17_BEV,29,1,29,Cash,In-store,11/29/2022,TRUE,3665,United States,Arizona,West
TXN_9440172,CUST_20,Beverages,Item_25_BEV,41,9,369,Credit Card,In-store,10/25/2023,FALSE,1732,United States,Texas,Central
TXN_3840387,CUST_19,Beverages,Item_7_BEV,14,5,70,Cash,In-store,12/29/2024,,-2051,United States,Michigan,Central
TXN_5744111,CUST_13,Beverages,Item_3_BEV,8,3,24,Credit Card,Online,8/21/2024,,12358,United States,Rhode Island,East
TXN_5319794,CUST_01,Beverages,Item_16_BEV,27.5,10,275,Credit Card,Online,5/1/2023,,-7358,United States,Michigan,Central
TXN_1213835,CUST_02,Beverages,Item_22_BEV,36.5,4,146,Digital Wallet,In-store,7/6/2022,FALSE,10843,United States,Michigan,Central
TXN_1354667,CUST_08,Beverages,Item_8_BEV,15.5,5,77.5,Cash,Online,4/4/2022,,-2603,United States,Ohio,East
TXN_5579136,CUST_24,Beverages,Item_14_BEV,24.5,8,196,Digital Wallet,In-store,5/12/2023,,3601,United States,Arizona,West
TXN_9837294,CUST_23,Beverages,Item_4_BEV,9.5,4,38,Digital Wallet,In-store,6/15/2024,,13998,United States,Arizona,West
TXN_4283900,CUST_04,Beverages,Item_24_BEV,39.5,6,237,Credit Card,Online,6/23/2022,FALSE,-3275,United States,Illinois,Central
TXN_8660082,CUST_08,Beverages,Item_20_BEV,33.5,1,33.5,Credit Card,In-store,5/18/2024,TRUE,10031,United States,New York,East
TXN_7810642,CUST_12,Beverages,Item_6_BEV,12.5,8,100,Credit Card,Online,3/4/2024,FALSE,-72,United States,Arkansas,South
TXN_4793201,CUST_12,Beverages,Item_16_BEV,27.5,2,55,Credit Card,In-store,9/1/2023,TRUE,-2320,United States,Colorado,West
TXN_5645530,CUST_14,Beverages,Item_14_BEV,24.5,10,245,Digital Wallet,Online,6/6/2024,FALSE,15861,United States,New York,East
TXN_5861199,CUST_19,Beverages,Item_18_BEV,30.5,10,305,Cash,Online,12/30/2022,FALSE,14300,United States,Montana,West
TXN_6215665,CUST_22,Beverages,Item_23_BEV,38,1,38,Digital Wallet,Online,6/13/2023,FALSE,7031,United States,Montana,West
TXN_2010040,CUST_10,Beverages,Item_19_BEV,32,8,256,Cash,Online,2/1/2024,FALSE,3588,United States,California,West
TXN_2221021,CUST_11,Beverages,Item_22_BEV,36.5,5,182.5,Digital Wallet,In-store,1/9/2022,,13551,United States,Florida,South
TXN_7555309,CUST_12,Beverages,,,5,107.5,Credit Card,Online,7/15/2022,TRUE,2624,United States,Florida,South
TXN_5720404,CUST_22,Beverages,Item_22_BEV,36.5,7,255.5,Cash,In-store,3/22/2022,TRUE,6854,United States,Florida,South
TXN_7101302,CUST_16,Beverages,,,1,33.5,Cash,In-store,10/24/2024,TRUE,-5910,United States,Washington,West
TXN_7903686,CUST_10,Beverages,Item_17_BEV,29,1,29,Digital Wallet,Online,3/13/2022,TRUE,15293,United States,New York,East
TXN_6017693,CUST_14,Beverages,Item_11_BEV,20,1,20,Digital Wallet,Online,2/24/2022,TRUE,1524,United States,Texas,Central
TXN_8231762,CUST_11,Beverages,Item_20_BEV,33.5,6,201,Credit Card,Online,1/17/2022,FALSE,-3455,United States,Pennsylvania,East
TXN_6205992,CUST_11,Beverages,Item_8_BEV,15.5,6,93,Credit Card,In-store,7/8/2023,,-729,United States,Pennsylvania,East
TXN_4191425,CUST_25,Beverages,Item_18_BEV,30.5,1,30.5,Digital Wallet,In-store,10/8/2024,FALSE,8318,United States,Pennsylvania,East
TXN_5430495,CUST_11,Beverages,Item_20_BEV,33.5,5,167.5,Digital Wallet,Online,1/11/2024,FALSE,7579,United States,New York,East
TXN_9730853,CUST_19,Beverages,Item_11_BEV,20,3,60,Credit Card,Online,11/16/2022,TRUE,1599,United States,New York,East
TXN_4924226,CUST_05,Beverages,Item_8_BEV,15.5,4,62,Cash,In-store,3/6/2023,FALSE,13099,United States,New York,East
TXN_8629942,CUST_20,Beverages,Item_24_BEV,39.5,4,158,Cash,In-store,12/8/2024,TRUE,2065,United States,Indiana,Central
TXN_6357302,CUST_20,Beverages,Item_15_BEV,26,1,26,Credit Card,In-store,9/9/2022,FALSE,319,United States,Arizona,West
TXN_3812949,CUST_17,Beverages,Item_17_BEV,29,1,29,Cash,In-store,7/7/2023,TRUE,6984,United States,Washington,West
TXN_1931979,CUST_25,Beverages,Item_15_BEV,26,6,156,Cash,In-store,10/21/2024,,6110,United States,Illinois,Central
TXN_1176248,CUST_16,Beverages,Item_4_BEV,9.5,6,57,Credit Card,In-store,12/6/2022,TRUE,-228,United States,Texas,Central
TXN_6490027,CUST_19,Beverages,Item_21_BEV,35,9,315,Credit Card,Online,8/20/2024,FALSE,4112,United States,New York,East
TXN_4452566,CUST_15,Beverages,Item_4_BEV,9.5,8,76,Digital Wallet,In-store,1/7/2022,FALSE,8226,United States,Texas,Central
TXN_1714958,CUST_10,Beverages,Item_17_BEV,29,5,145,Cash,Online,5/17/2023,,-6195,United States,Indiana,Central
TXN_1196570,CUST_22,Beverages,Item_6_BEV,12.5,8,100,Digital Wallet,Online,2/9/2024,TRUE,8468,United States,Virginia,South
TXN_1232531,CUST_12,Beverages,Item_2_BEV,6.5,3,19.5,Cash,Online,5/27/2024,TRUE,-276,United States,California,West
TXN_3904812,CUST_23,Beverages,Item_15_BEV,26,9,234,Credit Card,Online,3/22/2022,,7084,United States,Pennsylvania,East
TXN_3910370,CUST_22,Beverages,Item_14_BEV,24.5,2,49,Digital Wallet,In-store,12/23/2022,TRUE,4959,United States,New York,East
TXN_1871813,CUST_10,Beverages,Item_7_BEV,14,1,14,Cash,In-store,8/9/2022,,-1203,United States,California,West
TXN_2217907,CUST_07,Beverages,Item_14_BEV,24.5,2,49,Credit Card,In-store,5/15/2022,TRUE,13161,United States,Michigan,Central
TXN_5986313,CUST_05,Beverages,Item_24_BEV,39.5,6,237,Credit Card,In-store,1/3/2023,TRUE,-7158,United States,Michigan,Central
TXN_6829985,CUST_05,Beverages,Item_3_BEV,8,2,16,Cash,Online,11/22/2023,FALSE,-3534,United States,California,West
TXN_4327459,CUST_14,Beverages,Item_14_BEV,24.5,7,171.5,Credit Card,In-store,1/9/2022,,-3248,United States,Michigan,Central
TXN_1134117,CUST_18,Beverages,Item_20_BEV,33.5,1,33.5,Cash,Online,12/30/2024,,1152,United States,Iowa,Central
TXN_5805061,CUST_06,Beverages,Item_8_BEV,15.5,3,46.5,Credit Card,Online,7/31/2023,TRUE,-2812,United States,Iowa,Central
TXN_1476715,CUST_11,Beverages,Item_17_BEV,29,8,232,Credit Card,In-store,2/8/2022,FALSE,-591,United States,Ohio,East
TXN_8519777,CUST_16,Beverages,Item_24_BEV,39.5,3,118.5,Digital Wallet,Online,7/2/2022,TRUE,7921,United States,Virginia,South
TXN_7797790,CUST_24,Beverages,Item_19_BEV,32,7,224,Digital Wallet,Online,10/9/2022,TRUE,5605,United States,Virginia,South
TXN_7461424,CUST_25,Beverages,,27.5,,,Cash,In-store,11/23/2024,TRUE,11372,United States,Colorado,West
TXN_1608137,CUST_20,Beverages,Item_11_BEV,20,8,160,Cash,Online,3/13/2022,,10184,United States,Pennsylvania,East
TXN_4438498,CUST_07,Beverages,Item_14_BEV,24.5,5,122.5,Credit Card,Online,6/2/2022,TRUE,15385,United States,Kentucky,South
TXN_4104691,CUST_18,Beverages,Item_9_BEV,17,7,119,Digital Wallet,Online,5/23/2024,,3602,United States,New York,East
TXN_1814138,CUST_06,Beverages,Item_25_BEV,41,10,410,Credit Card,In-store,11/16/2024,,-700,United States,Pennsylvania,East
TXN_4274209,CUST_01,Beverages,Item_10_BEV,18.5,9,166.5,Cash,Online,11/19/2024,FALSE,-6277,United States,New York,East
TXN_7893748,CUST_24,Beverages,Item_12_BEV,21.5,5,107.5,Cash,Online,6/6/2022,,-675,United States,Virginia,South
TXN_6625191,CUST_22,Beverages,Item_14_BEV,24.5,8,196,Digital Wallet,Online,5/23/2022,FALSE,3110,United States,California,West
TXN_4344002,CUST_07,Beverages,Item_11_BEV,20,3,60,Credit Card,Online,9/28/2023,FALSE,8983,United States,New York,East
TXN_5283643,CUST_02,Beverages,Item_24_BEV,39.5,8,316,Cash,Online,7/9/2023,TRUE,4276,United States,Connecticut,East
TXN_6203639,CUST_11,Beverages,Item_19_BEV,32,5,160,Digital Wallet,Online,6/7/2022,,-3535,United States,Wisconsin,Central
TXN_6461094,CUST_19,Beverages,Item_2_BEV,6.5,3,19.5,Cash,In-store,4/4/2024,TRUE,14045,United States,Texas,Central
TXN_8110567,CUST_02,Beverages,,33.5,,,Digital Wallet,In-store,4/12/2022,TRUE,-7242,United States,Ohio,East
TXN_9925623,CUST_25,Beverages,Item_25_BEV,41,4,164,Credit Card,Online,8/20/2022,FALSE,15390,United States,Pennsylvania,East
TXN_9250241,CUST_05,Beverages,Item_10_BEV,18.5,1,18.5,Cash,Online,11/17/2024,TRUE,15142,United States,Arizona,West
TXN_3499525,CUST_02,Beverages,,15.5,,,Digital Wallet,Online,2/16/2024,,5949,United States,Pennsylvania,East
TXN_9887959,CUST_24,Beverages,,21.5,,,Cash,Online,8/9/2023,TRUE,-6486,United States,Texas,Central
TXN_2508784,CUST_02,Beverages,Item_8_BEV,15.5,7,108.5,Credit Card,Online,8/29/2024,TRUE,-6577,United States,California,West
TXN_7021336,CUST_25,Beverages,Item_3_BEV,8,10,80,Digital Wallet,Online,7/3/2022,TRUE,2400,United States,New York,East
TXN_6956313,CUST_04,Beverages,Item_2_BEV,6.5,10,65,Cash,In-store,9/4/2023,,5528,United States,New York,East
TXN_5747894,CUST_14,Beverages,Item_7_BEV,14,6,84,Credit Card,Online,9/25/2024,FALSE,11641,United States,Virginia,South
TXN_2510850,CUST_08,Beverages,Item_12_BEV,21.5,7,150.5,Cash,In-store,2/15/2024,,11044,United States,Washington,West
TXN_3032195,CUST_07,Beverages,Item_2_BEV,6.5,6,39,Digital Wallet,Online,2/14/2022,FALSE,4386,United States,New York,East
TXN_6255024,CUST_14,Beverages,Item_19_BEV,32,3,96,Digital Wallet,Online,7/18/2023,TRUE,-2925,United States,Washington,West
TXN_2985819,CUST_13,Beverages,Item_17_BEV,29,9,261,Digital Wallet,Online,9/7/2023,FALSE,8219,United States,Missouri,Central
TXN_9803487,CUST_13,Beverages,Item_4_BEV,9.5,5,47.5,Credit Card,Online,3/29/2023,FALSE,3498,United States,New York,East
TXN_9012270,CUST_18,Beverages,Item_17_BEV,29,4,116,Digital Wallet,Online,10/17/2022,FALSE,-4907,United States,Illinois,Central
TXN_8625922,CUST_08,Beverages,Item_6_BEV,12.5,10,125,Credit Card,Online,12/22/2023,FALSE,-4269,United States,Florida,South
TXN_1668933,CUST_02,Beverages,Item_12_BEV,21.5,2,43,Cash,In-store,5/14/2022,,15233,United States,Texas,Central
TXN_2539807,CUST_18,Beverages,Item_14_BEV,24.5,5,122.5,Cash,Online,5/15/2022,TRUE,221,United States,California,West
TXN_1273334,CUST_22,Beverages,Item_25_BEV,41,10,410,Digital Wallet,In-store,11/4/2022,TRUE,10693,United States,California,West
TXN_6606292,CUST_19,Beverages,Item_22_BEV,36.5,5,182.5,Cash,In-store,12/21/2023,FALSE,3028,United States,Texas,Central
TXN_9648937,CUST_19,Beverages,Item_24_BEV,39.5,10,395,Cash,In-store,8/25/2022,,-5429,United States,California,West
TXN_9025948,CUST_21,Beverages,,8,,,Digital Wallet,In-store,12/25/2023,TRUE,15673,United States,Georgia,South
TXN_5898104,CUST_06,Beverages,Item_7_BEV,14,9,126,Cash,Online,3/29/2024,,-1789,United States,Arkansas,South
TXN_2111400,CUST_15,Beverages,Item_4_BEV,9.5,10,95,Digital Wallet,In-store,1/12/2024,TRUE,-1539,United States,Indiana,Central
TXN_8377623,CUST_15,Beverages,Item_25_BEV,41,2,82,Credit Card,In-store,7/17/2024,FALSE,5467,United States,California,West
TXN_6471352,CUST_17,Beverages,,,4,80,Cash,Online,1/5/2025,FALSE,-1862,United States,Pennsylvania,East
TXN_4610549,CUST_24,Beverages,Item_12_BEV,21.5,3,64.5,Credit Card,In-store,8/26/2022,FALSE,15611,United States,Florida,South
TXN_3301574,CUST_11,Beverages,Item_13_BEV,23,4,92,Digital Wallet,Online,7/25/2022,TRUE,10926,United States,Indiana,Central
TXN_4255098,CUST_05,Beverages,Item_2_BEV,6.5,1,6.5,Credit Card,In-store,8/8/2023,,718,United States,Indiana,Central
TXN_3391475,CUST_10,Beverages,Item_14_BEV,24.5,1,24.5,Digital Wallet,In-store,5/1/2024,,1211,United States,California,West
TXN_3372645,CUST_02,Beverages,Item_12_BEV,21.5,10,215,Cash,In-store,5/1/2022,TRUE,13853,United States,California,West
TXN_2157777,CUST_05,Beverages,Item_14_BEV,24.5,7,171.5,Cash,Online,1/7/2024,TRUE,14689,United States,Michigan,Central
TXN_8025714,CUST_12,Beverages,Item_12_BEV,21.5,7,150.5,Cash,Online,6/3/2024,FALSE,4592,United States,California,West
TXN_6431534,CUST_21,Beverages,Item_5_BEV,11,5,55,Credit Card,Online,6/21/2023,FALSE,8109,United States,Michigan,Central
TXN_3951114,CUST_23,Beverages,Item_14_BEV,24.5,5,122.5,Digital Wallet,Online,1/16/2022,TRUE,-2134,United States,Maryland,East
TXN_2085114,CUST_15,Beverages,Item_22_BEV,36.5,3,109.5,Cash,In-store,1/1/2025,TRUE,-3515,United States,North Carolina,South
TXN_2949356,CUST_17,Beverages,,,8,316,Digital Wallet,Online,8/1/2022,FALSE,1687,United States,Washington,West
TXN_2399606,CUST_15,Beverages,Item_4_BEV,9.5,7,66.5,Cash,Online,7/23/2022,FALSE,-4790,United States,Texas,Central
TXN_9229474,CUST_22,Beverages,Item_11_BEV,20,4,80,Digital Wallet,In-store,5/23/2023,FALSE,-2401,United States,North Carolina,South
TXN_3053471,CUST_16,Beverages,,29,,,Cash,Online,6/9/2024,,12383,United States,Pennsylvania,East
TXN_9601122,CUST_24,Beverages,Item_11_BEV,20,9,180,Cash,In-store,1/13/2024,FALSE,10231,United States,California,West
TXN_4715095,CUST_14,Beverages,Item_14_BEV,24.5,10,245,Cash,Online,1/31/2022,TRUE,11316,United States,New York,East
TXN_5937987,CUST_12,Beverages,Item_4_BEV,9.5,7,66.5,Digital Wallet,Online,10/24/2022,TRUE,10455,United States,New York,East
TXN_1269546,CUST_13,Beverages,Item_11_BEV,20,6,120,Digital Wallet,In-store,10/19/2022,,-4987,United States,California,West
TXN_6086093,CUST_19,Beverages,Item_4_BEV,9.5,7,66.5,Digital Wallet,Online,3/13/2024,,5199,United States,North Carolina,South
TXN_8615445,CUST_01,Beverages,,21.5,,,Credit Card,In-store,12/22/2022,FALSE,1829,United States,Indiana,Central
TXN_2734006,CUST_09,Beverages,Item_10_BEV,18.5,9,166.5,Credit Card,In-store,6/7/2023,TRUE,2457,United States,Texas,Central
TXN_5656754,CUST_11,Beverages,Item_2_BEV,6.5,5,32.5,Digital Wallet,Online,10/14/2023,,2805,United States,Texas,Central
TXN_2996741,CUST_16,Beverages,Item_2_BEV,6.5,3,19.5,Credit Card,In-store,8/8/2022,FALSE,-5723,United States,California,West
TXN_6195176,CUST_08,Beverages,Item_2_BEV,6.5,3,19.5,Cash,In-store,6/10/2023,FALSE,-5638,United States,Minnesota,Central
TXN_6281747,CUST_11,Beverages,Item_20_BEV,33.5,7,234.5,Cash,In-store,11/5/2023,,7748,United States,Virginia,South
TXN_1374421,CUST_22,Beverages,Item_21_BEV,35,5,175,Cash,Online,5/19/2023,FALSE,1850,United States,California,West
TXN_8655955,CUST_09,Beverages,Item_24_BEV,39.5,6,237,Credit Card,Online,4/29/2023,FALSE,1247,United States,Massachusetts,East
TXN_1007406,CUST_13,Beverages,Item_12_BEV,21.5,6,129,Credit Card,Online,5/8/2022,TRUE,-4523,United States,Virginia,South
TXN_6249236,CUST_02,Beverages,Item_12_BEV,21.5,10,215,Digital Wallet,In-store,7/4/2023,,-2455,United States,Texas,Central
TXN_5847493,CUST_17,Beverages,Item_7_BEV,14,2,28,Digital Wallet,Online,1/30/2024,TRUE,10818,United States,Kentucky,South
TXN_5543359,CUST_09,Beverages,Item_13_BEV,23,2,46,Credit Card,In-store,12/4/2022,,3161,United States,Arizona,West
TXN_7547448,CUST_05,Beverages,Item_10_BEV,18.5,10,185,Credit Card,In-store,8/7/2022,,1990,United States,Pennsylvania,East
TXN_9358684,CUST_17,Beverages,Item_11_BEV,20,6,120,Credit Card,Online,4/24/2024,FALSE,1931,United States,Pennsylvania,East
TXN_2889258,CUST_25,Beverages,Item_18_BEV,30.5,6,183,Digital Wallet,In-store,8/28/2023,FALSE,1429,United States,Texas,Central
TXN_6462908,CUST_19,Beverages,Item_25_BEV,41,8,328,Cash,Online,9/18/2024,TRUE,-3987,United States,Arizona,West
TXN_9229067,CUST_17,Beverages,Item_14_BEV,24.5,5,122.5,Credit Card,In-store,7/11/2023,FALSE,7725,United States,Texas,Central
TXN_5219093,CUST_12,Beverages,Item_1_BEV,5,3,15,Cash,In-store,1/31/2024,,3086,United States,California,West
TXN_6528218,CUST_17,Beverages,Item_24_BEV,39.5,9,355.5,Digital Wallet,Online,12/20/2023,,12436,United States,Kentucky,South
TXN_7633588,CUST_04,Beverages,Item_23_BEV,38,8,304,Digital Wallet,In-store,3/20/2024,FALSE,10192,United States,Illinois,Central
TXN_2275670,CUST_09,Beverages,Item_7_BEV,14,3,42,Digital Wallet,Online,4/1/2023,FALSE,15841,United States,Alabama,South
TXN_7707333,CUST_04,Beverages,Item_21_BEV,35,9,315,Cash,Online,8/31/2022,,-2144,United States,Georgia,South
TXN_3073415,CUST_24,Beverages,Item_1_BEV,5,4,20,Cash,In-store,7/31/2022,FALSE,12564,United States,New York,East
TXN_8033989,CUST_06,Beverages,Item_2_BEV,6.5,5,32.5,Cash,In-store,8/29/2024,TRUE,4984,United States,California,West
TXN_2629807,CUST_03,Beverages,Item_20_BEV,33.5,6,201,Credit Card,In-store,5/17/2024,,-5580,United States,California,West
TXN_2082664,CUST_06,Beverages,,26,,,Digital Wallet,Online,5/30/2024,TRUE,1517,United States,New York,East
TXN_1086487,CUST_07,Beverages,Item_16_BEV,27.5,1,27.5,Credit Card,In-store,1/5/2025,FALSE,2077,United States,California,West
TXN_1618504,CUST_17,Beverages,Item_9_BEV,17,1,17,Credit Card,In-store,12/28/2023,,-2328,United States,New York,East
TXN_4349417,CUST_24,Beverages,Item_4_BEV,9.5,7,66.5,Digital Wallet,In-store,3/10/2024,FALSE,7276,United States,Texas,Central
TXN_7349078,CUST_24,Beverages,Item_24_BEV,39.5,1,39.5,Credit Card,Online,1/14/2022,FALSE,-6093,United States,California,West
TXN_5040560,CUST_18,Beverages,Item_22_BEV,36.5,8,292,Digital Wallet,Online,11/20/2022,,8718,United States,Nebraska,Central
TXN_4639732,CUST_11,Beverages,Item_19_BEV,32,2,64,Cash,In-store,9/27/2023,FALSE,-2950,United States,Nevada,West
TXN_2433285,CUST_25,Beverages,Item_20_BEV,33.5,10,335,Cash,In-store,8/9/2022,,12786,United States,California,West
TXN_2621567,CUST_05,Beverages,Item_23_BEV,38,4,152,Credit Card,Online,11/1/2024,,-805,United States,Massachusetts,East
TXN_4802346,CUST_10,Beverages,Item_2_BEV,6.5,10,65,Cash,In-store,3/14/2023,FALSE,2138,United States,Massachusetts,East
TXN_2049510,CUST_20,Beverages,,,1,20,Digital Wallet,In-store,9/4/2024,FALSE,4813,United States,Pennsylvania,East
TXN_6882208,CUST_10,Beverages,Item_20_BEV,33.5,8,268,Credit Card,In-store,1/1/2025,FALSE,12293,United States,Texas,Central
TXN_8152154,CUST_24,Beverages,Item_14_BEV,24.5,2,49,Cash,Online,12/2/2024,,6506,United States,California,West
TXN_2279824,CUST_10,Beverages,Item_18_BEV,30.5,2,61,Cash,Online,10/8/2023,,13954,United States,New York,East
TXN_7324451,CUST_02,Beverages,Item_2_BEV,6.5,5,32.5,Credit Card,In-store,8/3/2024,TRUE,-6062,United States,New York,East
TXN_4665128,CUST_05,Beverages,Item_9_BEV,17,9,153,Digital Wallet,Online,10/11/2024,,-2612,United States,New York,East
TXN_3841708,CUST_23,Beverages,Item_22_BEV,36.5,8,292,Digital Wallet,Online,3/23/2023,FALSE,11009,United States,New York,East
TXN_8642140,CUST_01,Beverages,Item_17_BEV,29,1,29,Credit Card,Online,7/2/2022,,11714,United States,Texas,Central
TXN_8389178,CUST_05,Beverages,Item_24_BEV,39.5,1,39.5,Credit Card,Online,11/13/2022,FALSE,1855,United States,California,West
TXN_7978551,CUST_20,Beverages,,,9,315,Digital Wallet,Online,2/12/2023,TRUE,12322,United States,California,West
TXN_5978654,CUST_17,Beverages,Item_3_BEV,8,5,40,Credit Card,Online,8/12/2022,FALSE,7634,United States,Ohio,East
TXN_4824314,CUST_04,Beverages,Item_19_BEV,32,9,288,Digital Wallet,Online,11/29/2023,FALSE,348,United States,Pennsylvania,East
TXN_4369363,CUST_25,Beverages,Item_4_BEV,9.5,6,57,Credit Card,In-store,12/29/2024,,11944,United States,Texas,Central
TXN_9159149,CUST_20,Beverages,Item_19_BEV,32,8,256,Digital Wallet,In-store,5/21/2024,TRUE,372,United States,Texas,Central
TXN_7900945,CUST_15,Beverages,Item_8_BEV,15.5,5,77.5,Credit Card,In-store,6/23/2022,,14627,United States,Nevada,West
